Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
125,28,0,103,3,Some Random Commen with Id 125
126,30,0,129,9,Some Random Commen with Id 126
127,30,0,25,8,Some Random Commen with Id 127
128,30,0,117,1,Some Random Commen with Id 128
129,30,0,115,1,Some Random Commen with Id 129
130,30,0,143,8,Some Random Commen with Id 130
131,30,0,118,8,Some Random Commen with Id 131
132,30,0,45,6,Some Random Commen with Id 132
133,31,2,59,3,Some Random Commen with Id 133
134,31,2,136,3,Some Random Commen with Id 134
135,31,2,191,4,Some Random Commen with Id 135
136,31,2,131,9,Some Random Commen with Id 136
137,32,9,10,6,Some Random Commen with Id 137
138,33,1,41,2,Some Random Commen with Id 138
139,33,1,159,5,Some Random Commen with Id 139
140,33,1,71,9,Some Random Commen with Id 140
141,33,1,70,2,Some Random Commen with Id 141
142,33,1,67,3,Some Random Commen with Id 142
143,33,1,54,6,Some Random Commen with Id 143
144,33,1,160,1,Some Random Commen with Id 144
145,33,1,132,4,Some Random Commen with Id 145
146,33,1,39,1,Some Random Commen with Id 146
147,34,0,123,8,Some Random Commen with Id 147
148,34,0,171,8,Some Random Commen with Id 148
149,35,9,69,5,Some Random Commen with Id 149
150,37,6,175,9,Some Random Commen with Id 150
151,37,6,65,2,Some Random Commen with Id 151
152,37,6,15,9,Some Random Commen with Id 152
153,37,6,23,3,Some Random Commen with Id 153
154,37,6,12,0,Some Random Commen with Id 154
155,37,6,73,0,Some Random Commen with Id 155
156,37,6,155,1,Some Random Commen with Id 156
157,38,1,86,4,Some Random Commen with Id 157
158,38,1,23,3,Some Random Commen with Id 158
159,38,1,48,4,Some Random Commen with Id 159
160,38,1,114,7,Some Random Commen with Id 160
161,38,1,30,3,Some Random Commen with Id 161
162,38,1,120,4,Some Random Commen with Id 162
163,38,1,193,3,Some Random Commen with Id 163
164,39,0,48,3,Some Random Commen with Id 164
165,39,0,169,8,Some Random Commen with Id 165
